Type_1;Type_2
-0.00112378; -0.0049269; 
-0.00112378; -0.00570824; 
-0.00112378; -0.00645975; 
-0.00112378; -0.00714849; 
-0.00112378; -0.00774631; 
-0.00112378; -0.0082298; 
-0.00112378; -0.00858012; 
-0.00112378; -0.00878287; 
-0.00112378; -0.0088271; 
-0.00112378; -0.00871063; 
-0.00112378; -0.00843235; 
-0.00112378; -0.00799214; 
-0.00112378; -0.00743534; 
-0.00112378; -0.00680346; 
-0.00112378; -0.00613779; 
-0.00112378; -0.00547542; 
-0.00112378; -0.00484913; 
-0.00112378; -0.00428731; 
-0.00112378; -0.00381406; 
-0.00112378; -0.00344929; 
-0.00112378; -0.00320889; 
-0.00112378; -0.00310487; 
-0.00112378; -0.0031456; 
-0.00112378; -0.00333595; 
-0.00112378; -0.00367746; 
-0.00112378; -0.00414753; 
-0.00112378; -0.00472592; 
-0.00112378; -0.0053947; 
-0.00112378; -0.00611389; 
-0.00112378; -0.00684203; 
-0.00112378; -0.00754217; 
-0.00112378; -0.00818204; 
-0.00112378; -0.00873402; 
-0.00112378; -0.00917513; 
-0.00112378; -0.00948098; 
-0.00112378; -0.00963188; 
-0.00112378; -0.00961784; 
-0.00112378; -0.00943767; 
-0.00112378; -0.00909116; 
-0.00112378; -0.00862249; 
-0.00112378; -0.00807233; 
-0.00112378; -0.00747778; 
-0.00112378; -0.00687222; 
-0.00112378; -0.00628537; 
-0.00112378; -0.00574706; 
-0.00112378; -0.00528286; 
-0.00112378; -0.00491421; 
-0.00112378; -0.00465853; 
-0.00112378; -0.0045294; 
-0.00112378; -0.00453672; 
-0.00112378; -0.00468688; 
-0.00112378; -0.00498294; 
-0.00112378; -0.00540323; 
-0.00112378; -0.00592839; 
-0.00112378; -0.00654121; 
-0.00112378; -0.0072026; 
-0.00112378; -0.00787235; 
-0.00112378; -0.00851462; 
-0.00112378; -0.00909804; 
-0.00112378; -0.00959581; 
-0.00112378; -0.00997955; 
-0.00112378; -0.0102257; 
-0.00112378; -0.0103207; 
-0.00112378; -0.010261; 
-0.00112378; -0.0100383; 
-0.00112378; -0.00964636; 
-0.00112378; -0.00912418; 
-0.00112378; -0.00850684; 
-0.00112378; -0.00783397; 
-0.00112378; -0.00714124; 
-0.00112378; -0.00646065; 
-0.00112378; -0.00582426; 
-0.00112378; -0.00525967; 
-0.00112378; -0.00479019; 
-0.00112378; -0.00443489; 
-0.00112378; -0.00420887; 
-0.00112378; -0.00412334; 
-0.00112378; -0.00418588; 
-0.00112378; -0.00440059; 
-0.00112378; -0.0047683; 
-0.00112378; -0.00526598; 
-0.00112378; -0.0058731; 
-0.00112378; -0.00657139; 
-0.00112378; -0.00732052; 
-0.00112378; -0.00807844; 
-0.00112378; -0.00880771; 
-0.00112378; -0.00947563; 
-0.00112378; -0.0100486; 
-0.00112378; -0.0104981; 
-0.00112378; -0.0108003; 
-0.00112378; -0.0109222; 
-0.00112378; -0.0108514; 
-0.00112378; -0.0105847; 
-0.00112378; -0.0101201; 
-0.00112378; -0.00950076; 
-0.00112378; -0.00876529; 
-0.00112378; -0.00794844; 
-0.00112378; -0.007091; 
-0.00112378; -0.00622982; 
-0.00112378; -0.00540158; 
-0.00112378; -0.00463812; 
-0.00112378; -0.00396656; 
-0.00112378; -0.00340947; 
-0.00112378; -0.00298505; 
-0.00112378; -0.00270733; 
-0.00112378; -0.00258638; 
-0.00112378; -0.00262857; 
-0.00112378; -0.00283667; 
-0.00112378; -0.00321014; 
-0.00112378; -0.00372423; 
-0.00112378; -0.00435681; 
-0.00112378; -0.00508825; 
-0.00112378; -0.00587124; 
-0.00112378; -0.00666311; 
-0.00112378; -0.00742584; 
-0.00112378; -0.00812622; 
