P;PID;FLC;FLC3
0.0159246;1.20836e-005;0.000275359;-3.99762e-006
0.0150876;1.17674e-005;0.00028636;-3.15461e-006
0.0142408;1.14586e-005;0.000293787;-2.35194e-006
0.0133861;1.11571e-005;0.000297575;-1.59124e-006
0.0125253;1.08628e-005;0.000297693;-8.7384e-007
0.0116604;1.05759e-005;0.000266009;-2.00704e-007
0.0107931;1.02962e-005;0.000219763;4.27498e-007
0.00992518;1.00238e-005;0.000171814;1.0104e-006
0.00905832;9.75856e-006;0.000123218;1.54789e-006
0.00819422;9.50041e-006;8.03461e-005;2.04014e-006
0.00733451;9.24926e-006;6.41623e-005;2.48753e-006
0.00648077;9.00504e-006;4.83037e-005;2.8907e-006
0.00563454;8.76762e-006;3.30881e-005;3.25045e-006
0.0047973;8.53688e-006;1.85929e-005;3.56778e-006
0.00397048;8.3127e-006;4.88573e-006;3.84385e-006
0.00315546;8.09494e-006;-7.97639e-006;4.07999e-006
0.00235355;7.88345e-006;-1.99474e-005;4.27763e-006
0.00156603;7.67807e-006;-3.09904e-005;4.43832e-006
0.000794089;7.47866e-006;-4.10778e-005;4.56372e-006
3.88798e-005;7.28504e-006;-5.01917e-005;4.65555e-006
-0.000698512;7.09706e-006;-5.83225e-005;4.71561e-006
-0.00141706;6.91454e-006;-6.54694e-005;4.74575e-006
-0.0021158;6.73732e-006;-7.16391e-005;4.74785e-006
-0.00279384;6.56523e-006;-7.68457e-005;4.72383e-006
-0.00345033;6.3981e-006;-8.111e-005;4.6756e-006
-0.00408449;6.23576e-006;-8.44587e-005;4.7448e-006
-0.0046956;6.07804e-006;-8.83993e-005;4.89088e-006
-0.00528302;5.92479e-006;-9.54566e-005;5.03912e-006
-0.00584616;5.77584e-006;-0.00010142;5.18283e-006
-0.00638447;5.63104e-006;-0.000106293;5.31635e-006
-0.0068975;5.49024e-006;-0.000110054;5.43733e-006
-0.00738484;5.35328e-006;-0.000112691;5.54078e-006
-0.00784614;5.22004e-006;-0.000114203;5.62338e-006
-0.0082811;5.09037e-006;-0.000114599;5.63842e-006
-0.00868951;4.96413e-006;-0.0001139;4.89928e-006
-0.00907118;4.84121e-006;-0.00011079;4.19319e-006
-0.009426;4.72149e-006;-9.9262e-005;3.52402e-006
-0.00975392;4.60484e-006;-8.71366e-005;2.91026e-006
-0.0100549;4.49116e-006;-7.45488e-005;2.36684e-006
-0.0103291;4.38035e-006;-6.17494e-005;1.93678e-006
-0.0105764;4.27231e-006;-4.89711e-005;1.68585e-006
-0.0107972;4.16694e-006;-3.97168e-005;1.44203e-006
-0.0109915;4.06415e-006;-3.33562e-005;1.20715e-006
-0.0111596;3.96387e-006;-2.71185e-005;9.81869e-007
-0.0113019;3.86602e-006;-2.10679e-005;7.66758e-007
