P;PID;FLC;FLC3
-0.0662306;0.000564334;-0.000628016;-0.000179319
-0.0656572;0.000549431;-0.000641442;-0.000168283
-0.0649686;0.000534964;-0.000648243;-0.000157257
-0.0641688;0.000520918;-0.000648684;-0.00014629
-0.063262;0.000507279;-0.000643121;-0.000135428
-0.0622525;0.00049403;-0.000631987;-0.000124714
-0.0611447;0.000481159;-0.000615778;-0.000114187
-0.0599431;0.000468651;-0.000594998;-0.000103883
-0.0586524;0.000456492;-0.000570153;-9.38357e-005
-0.0572771;0.000444669;-0.000541744;-8.40747e-005
-0.055822;0.00043317;-0.000510266;-7.4627e-005
-0.0542918;0.000421981;-0.000476203;-6.55161e-005
-0.0526913;0.000411092;-0.000440027;-5.67629e-005
-0.0510252;0.00040049;-0.000402194;-4.83848e-005
-0.0492985;0.000390165;-0.000363139;-4.03967e-005
-0.047516;0.000380107;-0.00032328;-3.28106e-005
-0.0456824;0.000370305;-0.00028301;-2.56357e-005
-0.0438026;0.000360751;-0.0002427;-1.88786e-005
-0.0418814;0.000351435;-0.000202694;-1.25436e-005
-0.0399234;0.00034235;-0.000163313;-6.63247e-006
-0.0379335;0.000333487;-0.000124847;-1.1449e-006
-0.0359163;0.00032484;-8.75626e-005;3.92153e-006
-0.0338764;0.0003164;-5.16962e-005;8.57116e-006
-0.0318183;0.000308163;-1.74578e-005;1.28101e-005
-0.0297466;0.000300121;1.497e-005;1.66452e-005
-0.0276655;0.00029227;4.54319e-005;2.00832e-005
-0.0255795;0.000284603;7.37987e-005;2.31313e-005
-0.0234926;0.000277115;9.99522e-005;2.57967e-005
-0.0214091;0.000269803;0.00012377;2.80864e-005
-0.019333;0.000262661;0.000145133;3.0008e-005
-0.017268;0.000255686;0.000163926;3.1569e-005
-0.0152182;0.000248873;0.000180046;3.27773e-005
-0.013187;0.000242219;0.000193403;3.36418e-005
-0.011178;0.00023572;0.000203926;3.41764e-005
-0.00919473;0.000229374;0.000211561;3.4399e-005
-0.00724038;0.000223176;0.00021628;3.43308e-005
-0.00531813;0.000217124;0.000218123;3.39948e-005
-0.00343099;0.000211214;0.000217201;3.34159e-005
-0.00158182;0.000205445;0.000213686;3.2619e-005
0.00022664;0.000199813;0.000207804;3.16281e-005
0.00199181;0.000194316;0.000199812;3.04665e-005
0.00371124;0.000188951;0.000189961;2.91564e-005
0.00538265;0.000183715;0.000178498;2.77192e-005
0.00700389;0.000178607;0.000165665;2.61751e-005
0.00857298;0.000173623;0.000151695;2.45432e-005
0.0100881;0.000168761;0.000136813;2.28419e-005
0.0115474;0.00016402;0.000121232;2.10882e-005
0.0129496;0.000159396;0.000105158;1.9298e-005
0.0142931;0.000154887;8.87823e-005;1.74865e-005
0.0155767;0.000150491;7.22855e-005;1.56674e-005
0.0167993;0.000146205;5.58354e-005;1.38535e-005
0.01796;0.000142028;3.95867e-005;1.20566e-005
0.0190579;0.000137957;2.36808e-005;1.02875e-005
0.0200924;0.000133989;8.24587e-006;8.55566e-006
0.021063;0.000130123;-6.60364e-006;6.86995e-006
0.0219692;0.000126356;-2.07666e-005;5.23806e-006
0.0228109;0.000122685;-3.4155e-005;3.6668e-006
0.0235878;0.000119109;-4.66907e-005;2.16207e-006
0.0243;0.000115626;-5.83016e-005;7.28922e-007
0.0249476;0.000112232;-6.89226e-005;-6.28429e-007
0.025531;0.000108927;-7.84964e-005;-1.90656e-006
0.0260504;0.000105707;-8.69743e-005;-3.10277e-006
0.0265063;0.000102571;-9.43164e-005;-4.21532e-006
0.0268994;9.95166e-005;-0.000100493;-5.24351e-006
0.0272305;9.65414e-005;-0.000105482;-6.18763e-006
0.0275002;9.36435e-005;-0.000109275;-7.04877e-006
0.0277095;9.08209e-005;-0.000111874;-7.82871e-006
0.0278595;8.80716e-005;-0.000113304;-8.52988e-006
0.0279513;8.53935e-005;-0.000113608;-9.15516e-006
0.027986;8.27849e-005;-0.000112845;-9.70786e-006
0.027965;8.02438e-005;-0.000111088;-1.01916e-005
0.0278896;7.77684e-005;-0.000108422;-1.06103e-005
0.0277612;7.53569e-005;-0.000104936;-1.09674e-005
0.0275814;7.30075e-005;-0.000100719;-1.12661e-005
0.0273517;7.07185e-005;-9.58586e-005;-1.15093e-005
0.0270738;6.84882e-005;-9.0442e-005;-1.16998e-005
0.0267493;6.6315e-005;-8.45548e-005;-1.18398e-005
0.02638;6.41974e-005;-7.82802e-005;-1.19316e-005
0.0259677;6.21338e-005;-7.16988e-005;-1.19774e-005
0.0255141;6.01227e-005;-6.48881e-005;-1.19792e-005
0.0250212;5.81627e-005;-5.79218e-005;-1.19389e-005
0.0244909;5.62523e-005;-5.08701e-005;-1.18583e-005
0.0239251;5.43902e-005;-4.37989e-005;-1.17392e-005
0.0233258;5.25752e-005;-3.67696e-005;-1.15835e-005
0.0226948;5.08058e-005;-2.98392e-005;-1.13935e-005
0.0220343;4.9081e-005;-2.306e-005;-1.11713e-005
0.0213461;4.73994e-005;-1.64795e-005;-1.09192e-005
0.0206324;4.576e-005;-1.01402e-005;-1.06396e-005
0.0198951;4.41616e-005;-4.08005e-006;-1.03351e-005
0.0191362;4.26032e-005;1.66813e-006;-1.0008e-005
0.0183577;4.10837e-005;7.07613e-006;-9.66092e-006
0.0175616;3.96021e-005;1.21204e-005;-9.29631e-006
0.0167499;3.81574e-005;1.67804e-005;-8.91663e-006
0.0159246;3.67486e-005;2.10345e-005;-8.52432e-006
0.0150876;3.5375e-005;2.48616e-005;-8.12173e-006
0.0142408;3.40355e-005;2.82412e-005;-7.71119e-006
0.0133861;3.27293e-005;3.11547e-005;-7.2949e-006
0.0125253;3.14556e-005;3.35859e-005;-6.87504e-006
0.0116604;3.02135e-005;3.55213e-005;-6.45363e-006
0.0107931;2.90024e-005;3.69511e-005;-6.03263e-006
0.00992518;2.78213e-005;3.78692e-005;-5.6139e-006
0.00905832;2.66697e-005;3.82804e-005;-5.19915e-006
0.00819422;2.55467e-005;3.82021e-005;-4.79001e-006
0.00733451;2.44517e-005;3.76625e-005;-4.38798e-006
0.00648077;2.3384e-005;3.67e-005;-3.99444e-006
0.00563454;2.23429e-005;3.53595e-005;-3.61064e-006
0.0047973;2.13278e-005;3.36851e-005;-3.23774e-006
0.00397048;2.03381e-005;3.17205e-005;-2.87676e-006
0.00315546;1.93731e-005;2.95082e-005;-2.52858e-006
0.00235355;1.84322e-005;2.70893e-005;-2.19402e-006
0.00156603;1.75149e-005;2.45035e-005;-1.87373e-006
0.000794089;1.66206e-005;2.17887e-005;-1.56829e-006
3.88798e-005;1.57488e-005;1.8981e-005;-1.27814e-006
-0.000698512;1.48988e-005;1.61147e-005;-1.00366e-006
-0.00141706;1.40702e-005;1.32217e-005;-7.4508e-007
-0.0021158;1.32624e-005;1.03318e-005;-5.02578e-007
-0.00279384;1.2475e-005;7.47262e-006;-2.76223e-007
-0.00345033;1.17074e-005;4.66937e-006;-6.60063e-008
-0.00408449;1.09592e-005;1.94493e-006;1.28162e-007
-0.0046956;1.02298e-005;-6.80192e-007;3.06446e-007
-0.00528302;9.51887e-006;-3.18784e-006;4.69074e-007
-0.00584616;8.8259e-006;-5.56219e-006;6.16307e-007
-0.00638447;8.15045e-006;-7.78936e-006;7.48415e-007
-0.0068975;7.49209e-006;-9.85652e-006;8.65667e-007
-0.00738484;6.85038e-006;-1.1752e-005;9.68339e-007
-0.00784614;6.22492e-006;-1.34655e-005;1.05671e-006
-0.0082811;5.6153e-006;-1.49882e-005;1.13106e-006
-0.00868951;5.02112e-006;-1.63129e-005;1.19169e-006
-0.00907118;4.44199e-006;-1.74339e-005;1.23888e-006
-0.009426;3.87753e-006;-1.83472e-005;1.27296e-006
-0.00975392;3.32738e-006;-1.90508e-005;1.29445e-006
-0.0100549;2.79118e-006;-1.95445e-005;1.30402e-006
-0.0103291;2.26855e-006;-1.9832e-005;1.30244e-006
-0.0105764;1.75918e-006;-1.99203e-005;1.29061e-006
-0.0107972;1.2627e-006;-1.98192e-005;1.26946e-006
-0.0109915;7.78804e-007;-1.95413e-005;1.23993e-006
-0.0111596;3.07162e-007;-1.9101e-005;1.20296e-006
-0.0113019;-1.52539e-007;-1.85141e-005;1.15942e-006
-0.0114186;-6.00604e-007;-1.77959e-005;1.11016e-006
-0.0115101;-1.03733e-006;-1.69621e-005;1.056e-006
-0.0115769;-1.46301e-006;-1.6028e-005;9.97703e-007
-0.0116193;-1.87792e-006;-1.50086e-005;9.36016e-007
-0.011638;-2.28235e-006;-1.39188e-005;8.71628e-007
-0.0116333;-2.67655e-006;-1.27725e-005;8.05194e-007
-0.011606;-3.0608e-006;-1.15837e-005;7.37325e-007
-0.0115565;-3.43535e-006;-1.03654e-005;6.68594e-007
-0.0114855;-3.80044e-006;-9.1299e-006;5.99532e-007
-0.0113936;-4.15632e-006;-7.88903e-006;5.30627e-007
-0.0112816;-4.50322e-006;-6.6537e-006;4.62331e-007
-0.01115;-4.84138e-006;-5.43403e-006;3.95054e-007
-0.0109997;-5.17102e-006;-4.23937e-006;3.29167e-007
-0.0108314;-5.49234e-006;-3.07819e-006;2.65004e-007
-0.0106458;-5.80558e-006;-1.95812e-006;2.02862e-007
-0.0104436;-6.11093e-006;-8.85944e-007;1.43003e-007
-0.0102258;-6.40859e-006;1.32409e-007;8.56537e-008
-0.00999309;-6.69876e-006;1.09185e-006;3.10091e-008
-0.00974626;-6.98162e-006;1.98811e-006;-2.07681e-008
-0.00948615;-7.25738e-006;2.81759e-006;-6.95453e-008
-0.00921358;-7.52619e-006;3.57652e-006;-1.15218e-007
-0.00892939;-7.78825e-006;4.26114e-006;-1.57716e-007
-0.0086344;-8.04371e-006;4.86782e-006;-1.97011e-007
-0.00832946;-8.29275e-006;5.39322e-006;-2.33111e-007
-0.00801539;-8.53553e-006;5.8344e-006;-2.66055e-007
-0.00769302;-8.77221e-006;6.1889e-006;-2.95909e-007
-0.0073632;-9.00293e-006;6.45488e-006;-3.22763e-007
-0.00702674;-9.22785e-006;6.63115e-006;-3.46725e-007
-0.00668446;-9.44712e-006;6.71814e-006;-3.67921e-007
-0.00633716;-9.66088e-006;6.71852e-006;-3.86488e-007
-0.00598566;-9.86926e-006;6.63699e-006;-4.0257e-007
-0.00563074;-1.00724e-005;6.47998e-006;-4.16305e-007
-0.00527317;-1.02704e-005;6.25535e-006;-4.27812e-007
-0.00491373;-1.04635e-005;5.97089e-006;-4.37204e-007
-0.00455316;-1.06517e-005;5.63427e-006;-4.44581e-007
-0.00419219;-1.08351e-005;5.25296e-006;-4.50034e-007
-0.00383155;-1.1014e-005;4.83422e-006;-4.53652e-007
-0.00347193;-1.11883e-005;4.38504e-006;-4.55513e-007
-0.00311402;-1.13583e-005;3.91214e-006;-4.55696e-007
-0.00275847;-1.15239e-005;3.4219e-006;-4.54272e-007
-0.00240594;-1.16854e-005;2.92037e-006;-4.51312e-007
-0.00205704;-1.18429e-005;2.41324e-006;-4.46883e-007
-0.00171236;-1.19964e-005;1.90578e-006;-4.41061e-007
-0.00137249;-1.2146e-005;1.40292e-006;-4.33924e-007
-0.00103798;-1.22918e-005;9.09126e-007;-4.25557e-007
-0.000709357;-1.2434e-005;4.28497e-007;-4.16048e-007
-0.000387128;-1.25725e-005;-3.53037e-008;-4.05489e-007
-7.17743e-005;-1.27076e-005;-4.79022e-007;-3.93973e-007
0.000236249;-1.28393e-005;-8.99812e-007;-3.81593e-007
0.00053651;-1.29676e-005;-1.29522e-006;-3.68446e-007
0.000828604;-1.30928e-005;-1.66295e-006;-3.54625e-007
0.00111215;-1.32147e-005;-2.00093e-006;-3.40225e-007
0.0013868;-1.33336e-005;-2.30731e-006;-3.25338e-007
0.00165221;-1.34495e-005;-2.5805e-006;-3.10053e-007
0.0019081;-1.35625e-005;-2.81916e-006;-2.9446e-007
0.00215418;-1.36726e-005;-3.02227e-006;-2.78642e-007
0.00239019;-1.37799e-005;-3.18908e-006;-2.62682e-007
0.00261593;-1.38846e-005;-3.31916e-006;-2.46657e-007
0.00283118;-1.39866e-005;-3.41238e-006;-2.30644e-007
0.00303578;-1.4086e-005;-3.46927e-006;-2.14711e-007
0.00322956;-1.41829e-005;-3.49094e-006;-1.98925e-007
0.00341242;-1.42774e-005;-3.47906e-006;-1.83347e-007
0.00358425;-1.43694e-005;-3.43574e-006;-1.68036e-007
0.00374497;-1.44592e-005;-3.36347e-006;-1.53044e-007
0.00389453;-1.45467e-005;-3.26497e-006;-1.3842e-007
0.00403291;-1.4632e-005;-3.14298e-006;-1.24206e-007
0.00416009;-1.47151e-005;-3.00023e-006;-1.10443e-007
0.00427609;-1.47962e-005;-2.8394e-006;-9.71648e-008
0.00438095;-1.48752e-005;-2.66316e-006;-8.44017e-008
0.00447473;-1.49522e-005;-2.47409e-006;-7.21799e-008
0.0045575;-1.50272e-005;-2.2747e-006;-6.0521e-008
0.00462937;-1.51004e-005;-2.06742e-006;-4.94427e-008
0.00469044;-1.51717e-005;-1.85457e-006;-3.89589e-008
