Type_1;Type_2
0; 0.0575707; 
0; 0.0608215; 
0; 0.0641517; 
0; 0.109423; 
0; 0.116001; 
0; 0.137189; 
0; 0.138942; 
0; 0.139102; 
0; 0.137684; 
0; 0.134836; 
0; 0.130653; 
0; 0.125191; 
0; 0.11848; 
0; 0.110533; 
0; 0.101361; 
0; 0; 
0; 0; 
0; 0; 
0; -0.129293; 
1.9984e-014; -0.136031; 
1.19904e-013; -0.14132; 
2.09832e-013; -0.143967; 
2.89768e-013; -0.144416; 
3.69704e-013; -0.142935; 
