Type_1;Type_2
1.00112; 1.00909; 
1.00112; 1.00862; 
1.00112; 1.00807; 
1.00112; 1.00748; 
1.00112; 1.00687; 
1.00112; 1.00629; 
1.00112; 1.00575; 
1.00112; 1.00528; 
1.00112; 1.00491; 
1.00112; 1.00466; 
1.00112; 1.00453; 
1.00112; 1.00454; 
1.00112; 1.00469; 
1.00112; 1.00498; 
1.00112; 1.0054; 
1.00112; 1.00593; 
1.00112; 1.00654; 
1.00112; 1.0072; 
1.00112; 1.00787; 
1.00112; 1.00851; 
1.00112; 1.0091; 
1.00112; 1.0096; 
1.00112; 1.00998; 
1.00112; 1.01023; 
1.00112; 1.01032; 
1.00112; 1.01026; 
1.00112; 1.01004; 
1.00112; 1.00965; 
1.00112; 1.00912; 
1.00112; 1.00851; 
1.00112; 1.00783; 
1.00112; 1.00714; 
1.00112; 1.00646; 
1.00112; 1.00582; 
1.00112; 1.00526; 
1.00112; 1.00479; 
1.00112; 1.00443; 
1.00112; 1.00421; 
1.00112; 1.00412; 
1.00112; 1.00419; 
1.00112; 1.0044; 
1.00112; 1.00477; 
1.00112; 1.00527; 
1.00112; 1.00587; 
1.00112; 1.00657; 
1.00112; 1.00732; 
1.00112; 1.00808; 
1.00112; 1.00881; 
1.00112; 1.00948; 
1.00112; 1.01005; 
1.00112; 1.0105; 
1.00112; 1.0108; 
1.00112; 1.01092; 
1.00112; 1.01085; 
1.00112; 1.01058; 
1.00112; 1.01012; 
1.00112; 1.0095; 
1.00112; 1.00877; 
1.00112; 1.00795; 
1.00112; 1.00709; 
1.00112; 1.00623; 
1.00112; 1.0054; 
1.00112; 1.00464; 
1.00112; 1.00397; 
1.00112; 1.00341; 
1.00112; 1.00299; 
1.00112; 1.00271; 
1.00112; 1.00259; 
1.00112; 1.00263; 
1.00112; 1.00284; 
1.00112; 1.00321; 
1.00112; 1.00372; 
1.00112; 1.00436; 
1.00112; 1.00509; 
1.00112; 1.00587; 
1.00112; 1.00666; 
1.00112; 1.00743; 
1.00112; 1.00813; 
