P;PID;FLC;FLC3
0.981642;0.999947;0.999965;0.999998
0.982438;0.999949;0.999966;0.999998
0.98325;0.999951;0.999968;0.999998
0.984075;0.999952;0.99997;0.999998
0.984912;0.999954;0.999972;0.999998
0.985759;0.999956;0.999975;0.999998
0.986614;0.999957;0.999978;0.999998
0.987475;0.999959;0.99998;0.999998
0.98834;0.99996;0.999983;0.999998
0.989207;0.999962;0.999986;0.999998
0.990075;0.999963;0.999989;0.999998
0.990942;0.999964;0.999992;0.999998
0.991806;0.999966;0.999995;0.999998
0.992665;0.999967;0.999998;0.999998
0.993519;0.999968;1;0.999999
0.994365;0.99997;1;0.999999
0.995203;0.999971;1.00001;0.999999
0.99603;0.999972;1.00001;0.999999
0.996845;0.999973;1.00001;0.999999
0.997646;0.999974;1.00001;0.999999
0.998434;0.999975;1.00001;0.999999
0.999206;0.999976;1.00002;0.999999
0.999961;0.999977;1.00002;1
1.0007;0.999978;1.00002;1
1.00142;0.999979;1.00002;1
1.00212;0.99998;1.00002;1
1.00279;0.999981;1.00002;1
1.00345;0.999982;1.00002;1
1.00408;0.999983;1.00002;1
1.0047;0.999984;1.00002;1
1.00528;0.999985;1.00002;1
1.00585;0.999986;1.00002;1
1.00638;0.999987;1.00002;1
1.0069;0.999987;1.00002;1
1.00738;0.999988;1.00002;1
1.00785;0.999989;1.00002;1
1.00828;0.99999;1.00001;1
1.00869;0.99999;1.00001;1
1.00907;0.999991;1.00001;1
1.00943;0.999992;1.00001;1
1.00975;0.999992;1.00001;1
1.01005;0.999993;1.00001;1
1.01033;0.999994;1.00001;1
1.01058;0.999994;1.00001;1
1.0108;0.999995;1;1
1.01099;0.999995;1;1
1.01116;0.999996;1;1
1.0113;0.999997;1;1
1.01142;0.999997;1;1
1.01151;0.999998;0.999999;1
1.01158;0.999998;0.999998;1
1.01162;0.999999;0.999997;1
1.01164;0.999999;0.999996;1
1.01163;1;0.999996;1
1.01161;1;0.999995;1
1.01156;1;0.999995;1
1.01149;1;0.999994;1
1.01139;1;0.999994;1
1.01128;1;0.999994;1
1.01115;1;0.999994;1
1.011;1;0.999994;1
1.01083;1;0.999994;1
1.01065;1;0.999994;1
1.01044;1;0.999994;1
1.01023;1;0.999994;1
1.00999;1;0.999994;1
1.00975;1;0.999995;1
1.00949;1.00001;0.999995;1
1.00921;1.00001;0.999996;1
1.00893;1.00001;0.999996;1
1.00863;1.00001;0.999997;1
1.00833;1.00001;0.999997;1
1.00802;1.00001;0.999998;1
1.00769;1.00001;0.999998;1
1.00736;1.00001;0.999999;1
1.00703;1.00001;0.999999;1
1.00668;1.00001;1;1
1.00634;1.00001;1;1
1.00599;1.00001;1;1
1.00563;1.00001;1;1
1.00527;1.00001;1;1
1.00491;1.00001;1;1
1.00455;1.00001;1;1
1.00419;1.00001;1;1
1.00383;1.00001;1;1
1.00347;1.00001;1;1
1.00311;1.00001;1;1
1.00276;1.00001;1;1
1.00241;1.00001;1;1
1.00206;1.00001;1;1
1.00171;1.00001;1;1
1.00137;1.00001;1;1
1.00104;1.00001;1;1
1.00071;1.00001;1;1
1.00039;1.00001;1;1
1.00007;1.00001;1;1
0.999764;1.00001;1;1
0.999463;1.00001;1;1
0.999171;1.00001;1;1
0.998888;1.00001;1;1
0.998613;1.00001;1;1
0.998348;1.00001;1;1
0.998092;1.00001;1;1
0.997846;1.00001;1;1
0.99761;1.00001;1;1
0.997384;1.00001;1;1
0.997169;1.00001;1;1
0.996964;1.00001;1;1
0.99677;1.00001;1;1
0.996588;1.00001;1;1
0.996416;1.00001;1;1
0.996255;1.00001;1;1
0.996105;1.00001;1;1
0.995967;1.00001;1;1
0.99584;1.00001;0.999999;1
0.995724;1.00001;0.999999;1
0.995619;1.00001;0.999999;1
0.995525;1.00001;0.999999;1
0.995443;1.00001;0.999999;1
0.995371;1.00001;0.999999;1
0.99531;1.00001;0.999999;1
0.995259;1.00002;0.999999;1
0.995219;1.00002;0.999999;1
0.99519;1.00002;0.999999;1
0.99517;1.00002;0.999999;1
0.995161;1.00002;0.999999;1
0.995161;1.00002;0.999999;1
0.995171;1.00002;0.999999;1
0.99519;1.00002;0.999999;1
0.995217;1.00002;0.999999;1
0.995254;1.00002;0.999999;1
0.995299;1.00002;0.999999;1
0.995353;1.00002;0.999999;1
0.995414;1.00002;0.999999;1
0.995482;1.00002;1;1
0.995558;1.00002;1;1
0.995641;1.00002;1;1
0.995731;1.00002;1;1
0.995826;1.00002;1;1
0.995928;1.00002;1;1
0.996035;1.00002;1;1
0.996148;1.00002;1;1
0.996265;1.00002;1;1
0.996387;1.00002;1;1
0.996513;1.00002;1;1
0.996643;1.00002;1;1
0.996776;1.00002;1;1
0.996913;1.00002;1;1
0.997053;1.00002;1;1
0.997194;1.00002;1;1
0.997339;1.00002;1;1
0.997484;1.00002;1;1
0.997632;1.00002;1;1
0.99778;1.00002;1;1
0.99793;1.00002;1;1
0.99808;1.00002;1;1
0.99823;1.00002;1;1
0.99838;1.00002;1;1
0.998529;1.00002;1;1
0.998678;1.00002;1;1
0.998826;1.00002;1;1
0.998973;1.00002;1;1
0.999119;1.00002;1;1
0.999262;1.00002;1;1
0.999404;1.00002;1;1
0.999544;1.00002;1;1
0.999681;1.00002;1;1
0.999815;1.00002;1;1
0.999947;1.00002;1;1
1.00008;1.00002;1;1
1.0002;1.00002;1;1
1.00032;1.00002;1;1
1.00044;1.00002;1;1
1.00056;1.00002;1;1
1.00067;1.00002;1;1
1.00077;1.00002;1;1
1.00088;1.00002;1;1
1.00098;1.00002;1;1
