P;PID;FLC;FLC3
-0.0639155;0.000154852;-0.00309893;0.000308192
-0.0648339;0.000152244;-0.00261479;0.000311417
-0.0656034;0.000149949;-0.0021217;0.000314229
-0.0662258;0.000147918;-0.0016294;0.000316412
-0.0667035;0.000146106;-0.0012869;0.000317813
-0.067039;0.000144471;-0.00104275;0.000318338
-0.0672349;0.000142973;-0.000805643;0.000317942
-0.0672942;0.000141577;-0.000577974;0.000288221
-0.0672201;0.000140252;-0.00036105;0.000239258
-0.0670157;0.000138966;-0.000155993;0.000193675
-0.0666847;0.000137696;3.62588e-005;0.000152535
-0.0662306;0.000136419;0.000215074;0.000117397
-0.0656572;0.000135114;0.000379886;9.55753e-005
-0.0649686;0.000133766;0.000530219;7.89707e-005
-0.0641688;0.000132362;0.000665749;6.30784e-005
-0.063262;0.000130891;0.0007863;4.79717e-005
-0.0622525;0.000129344;0.000891838;3.36853e-005
-0.0611447;0.000127717;0.000982459;2.02461e-005
-0.0599431;0.000126005;0.00105838;7.67413e-006
-0.0586524;0.000124207;0.00111993;-4.01758e-006
-0.0572771;0.000122324;0.00116753;-1.48227e-005
-0.055822;0.000120357;0.00120172;-2.47405e-005
-0.0542918;0.000118309;0.0012231;-3.37754e-005
-0.0526913;0.000116185;0.00123235;-4.19373e-005
-0.0510252;0.000113991;0.00134574;-4.92404e-005
-0.0492985;0.000111733;0.00146599;-5.57033e-005
-0.047516;0.000109418;0.00156616;-6.13483e-005
-0.0456824;0.000107054;0.00164555;-6.6201e-005
-0.0438026;0.000104649;0.00170345;-7.02902e-005
-0.0418814;0.00010221;0.00173935;-7.36471e-005
-0.0399234;9.97463e-005;0.00175299;-7.63051e-005
-0.0379335;9.72663e-005;0.00174433;-7.82994e-005
-0.0359163;9.4778e-005;0.00167809;-7.96669e-005
-0.0338764;9.22895e-005;0.00137169;-8.04452e-005
-0.0318183;8.98083e-005;0.00105569;-7.60744e-005
-0.0297466;8.73419e-005;0.000733741;-7.14219e-005
-0.0276655;8.48972e-005;0.00045074;-6.65931e-005
-0.0255795;8.24807e-005;0.000343572;-6.16619e-005
-0.0234926;8.00984e-005;0.00023925;-5.66941e-005
-0.0214091;7.77558e-005;0.000140019;-5.17475e-005
-0.019333;7.54578e-005;4.63808e-005;-4.68726e-005
-0.017268;7.32087e-005;-4.12404e-005;-4.21126e-005
-0.0152182;7.10124e-005;-0.00012253;-3.75038e-005
-0.013187;6.88721e-005;-0.000197217;-3.32057e-005
-0.011178;6.67904e-005;-0.000265101;-3.49709e-005
-0.00919473;6.47697e-005;-0.000326052;-3.64917e-005
-0.00724038;6.28115e-005;-0.000380012;-3.77826e-005
-0.00531813;6.0917e-005;-0.000426983;-3.88567e-005
-0.00343099;5.90869e-005;-0.000467032;-3.9726e-005
-0.00158182;5.73215e-005;-0.000500278;-4.04012e-005
0.00022664;5.56206e-005;-0.000526892;-4.0892e-005
0.00199181;5.39838e-005;-0.000547094;-4.12076e-005
0.00371124;5.24101e-005;-0.000562537;-4.13565e-005
