
 Generation    Best        Average       Standard 
 number        value       fitness       deviation 
  203       0.000091812   10.649579699   9.552094256 
  204       0.000091812   11.889320947   12.250154466 
  205       0.000091812   9.889450444   10.342036573 
  206       0.000091812   11.789579672   13.672350336 
  207       0.000091812   10.423680258   12.567813737 
  208       0.000091812   6.457790199   10.781087993 
  209       0.000091812   4.309940641   8.234197645 
  210       0.000091812   6.579475119   13.336890818 
  211       0.000091812   3.706117827   7.593049421 
  212       0.000091812   3.885702374   5.086745422 
  213       0.000076666   3.733812020   5.885948658 
  214       0.000076666   4.376315952   5.457238655 
  215       0.000076666   5.352714114   9.898602733 
  216       0.000076666   6.110263933   13.296555381 
  217       0.000076666   6.249295854   11.989200605 
  218       0.000076666   4.541035661   9.290097131 
  219       0.000076666   8.892808558   19.175034934 
  220       0.000076666   3.973541727   9.602863047 
  221       0.000076666   4.676767944   8.034818712 
  222       0.000076666   3.754237699   6.992053744 
  223       0.000076666   9.701691881   12.498081211 
  224       0.000076666   8.274143861   12.342349132 
  225       0.000076666   9.331041743   11.592795217 
  226       0.000076666   10.540074071   12.535938491 
  227       0.000074258   12.586537496   17.331450255 
  228       0.000070723   11.140730132   14.644524501 
  229       0.000070723   6.685017062   10.025119605 
  230       0.000070723   5.897489602   8.816177085 
  231       0.000070723   11.742463369   14.355182020 
  232       0.000070723   8.867842299   12.707369987 
  233       0.000070723   12.931813854   17.622691294 
  234       0.000070723   7.995872090   10.961490412 
  235       0.000070723   7.174574527   11.345783442 
  236       0.000070723   8.680350373   12.491635338 
  237       0.000070723   10.039019170   11.829689871 
  238       0.000070723   8.407611497   9.102086208 
  239       0.000070723   7.130162684   6.603077823 
  240       0.000070723   9.772633977   15.331454634 
  241       0.000070723   6.649308264   10.922021255 
  242       0.000070723   5.657501918   7.383278089 
  243       0.000070723   7.202419181   12.768110341 
  244       0.000070338   6.754748160   9.128241398 
  245       0.000070338   5.228148511   10.603665702 
  246       0.000070338   3.228539980   5.354565598 
  247       0.000070338   5.530974463   8.490001362 
  248       0.000070338   6.317282670   8.195285959 
  249       0.000070338   4.144984406   7.185961037 
  250       0.000070338   7.281573174   13.777457702 
  251       0.000070338   4.945823369   8.775378375 
  252       0.000070338   5.584004626   7.971705259 
  253       0.000070338   4.457092516   6.650199059 
  254       0.000070338   2.831921122   5.027009994 
  255       0.000070338   6.746841010   13.398076216 
  256       0.000070338   7.989956352   11.607873340 
  257       0.000070338   6.225437585   10.043649931 
  258       0.000070338   4.060231003   8.607227789 
  259       0.000070338   3.830435355   9.720857129 
  260       0.000070338   4.449231187   9.194129256 
  261       0.000070338   3.874621893   7.839040660 
  262       0.000070338   3.983283207   13.689382652 
  263       0.000070338   2.324611128   6.385079162 
  264       0.000070338   5.421986482   14.765788093 
  265       0.000070338   4.473883228   10.079139160 
  266       0.000070338   4.868415026   9.449418556 
  267       0.000070338   3.998585965   5.811455731 
  268       0.000070338   6.636137629   7.051355858 
  269       0.000070338   5.375322105   10.736112101 
  270       0.000070338   4.791065393   13.417445812 
  271       0.000070338   5.943129348   13.465160713 
  272       0.000070338   4.412223919   7.420048873 
  273       0.000070338   5.278048666   8.935039888 
  274       0.000070338   4.351550622   7.197695429 
  275       0.000070338   5.109219754   10.409848687 
  276       0.000070338   5.538587549   10.462749232 
  277       0.000070338   8.402550997   12.216431535 
  278       0.000070338   7.887472022   9.731388973 
  279       0.000070338   5.724009738   8.843187747 
  280       0.000070338   6.659035542   8.197270956 
  281       0.000070338   5.648890087   7.141028719 
  282       0.000070338   4.735204395   6.862638086 
  283       0.000070338   4.206631213   6.146143235 
  284       0.000070338   6.398486916   8.993269235 
  285       0.000070338   7.094721069   12.112568481 
  286       0.000070338   8.173935933   6.702922766 
  287       0.000070338   6.808399191   7.108031808 
  288       0.000070338   6.477916722   6.251320309 
  289       0.000070338   5.759999204   7.250651338 
  290       0.000070338   6.788655751   8.312947079 
  291       0.000070338   4.616915961   10.505459759 
  292       0.000070338   5.511149089   10.758825362 
  293       0.000070338   5.743934314   11.081811624 
  294       0.000070338   4.096644999   8.018278643 
  295       0.000070338   5.435277587   11.567446400 
  296       0.000070338   9.264900327   14.971590422 
  297       0.000070338   7.640101298   11.865798388 
  298       0.000070338   7.397415715   11.807637573 
  299       0.000070338   9.184079437   13.015089610 
  300       0.000070338   5.981201262   10.174404542 
  301       0.000070338   8.523737801   12.615597188 
  302       0.000070338   7.309351575   10.611095358 
  303       0.000070338   9.084483759   10.885528030 
  304       0.000070338   6.870919385   10.728420357 
  305       0.000070338   6.301284362   9.993013940 
  306       0.000070338   5.791083839   8.851228074 
  307       0.000070338   7.833876875   9.683262867 
  308       0.000070338   6.579914662   11.717055845 
  309       0.000070338   5.684161697   9.177341093 
  310       0.000070338   6.921191337   9.652578376 
  311       0.000070338   7.144004478   10.980643831 
  312       0.000070338   4.543604597   6.742689652 
  313       0.000070338   4.911764709   5.958612605 
  314       0.000070338   6.013678556   8.851458782 
  315       0.000070338   8.677471584   11.404128037 
  316       0.000070338   4.888585266   7.317572780 
  317       0.000070338   9.887544645   14.383413330 
  318       0.000070338   9.675958936   16.526781887 
  319       0.000070338   9.216678978   14.757868437 
  320       0.000070338   4.925933556   9.236528096 
  321       0.000070338   7.311412159   12.026487130 
  322       0.000070338   3.297923129   3.097030233 
  323       0.000070338   4.006238353   6.385621516 
  324       0.000070338   4.505135103   7.361424664 
  325       0.000070338   3.623421367   5.480757039 
  326       0.000070338   5.879059755   8.289009223 
  327       0.000070338   5.646167076   7.868545231 
  328       0.000070338   5.528342685   5.592037319 
  329       0.000070338   4.740435616   5.722855152 
  330       0.000070338   5.313826589   6.425210722 
  331       0.000070338   7.617139624   9.267590397 
  332       0.000070338   9.059727457   13.871609347 
  333       0.000070338   5.883856270   7.530994682 
  334       0.000070338   6.936616744   10.189043019 
  335       0.000070338   4.785920276   6.261631816 
  336       0.000070338   5.660108773   9.346313340 
